region,year,EV_sales,sales_share,EV_stock,stock_share
Australia,2011,49.0,0.0065000001341104,49.0,0.0003900000010617
Australia,2012,125.0,0.0299999993294477,150.0,0.0024000001139938
Australia,2013,145.0,0.0340000018477439,295.0,0.0046000001020729
Australia,2014,660.0,0.1599999964237213,940.0,0.0140000004321336
Australia,2015,880.0,0.2000000029802322,1800.0,0.0270000007003545
Australia,2016,685.0,0.1500000059604644,2500.0,0.0370000004768371
Australia,2017,1150.0,0.2599999904632568,3650.0,0.0520000010728836
Australia,2018,1800.0,0.4199999868869781,5450.0,0.0769999995827674
Australia,2019,4600.0,1.2000000476837158,10300.0,0.1400000005960464
Australia,2020,3450.0,1.100000023841858,13500.0,0.1800000071525573
Australia,2021,6814.666666666667,2.799999952316284,16014.666666666666,0.3199999928474426
Australia,2022,12971.666666666666,5.099999904632568,29366.666666666668,0.5899999737739563
Australia,2023,32668.666666666668,12.0,60355.0,1.2000000476837158
Austria,2013,650.0,0.2000000029802322,1255.0,0.0529999993741512
Austria,2014,853.0,0.5699999928474426,1394.3333333333333,0.0890000015497207
Austria,2015,934.6666666666666,0.8999999761581421,2168.6666666666665,0.1400000005960464
Austria,2016,2500.0,1.5,3804.3333333333335,0.2399999946355819
Austria,2017,2367.3333333333335,2.0,6306.333333333333,0.3799999952316284
Austria,2018,3035.6666666666665,2.5999999046325684,8908.0,0.5299999713897705
Austria,2019,3839.6666666666665,3.5,12680.333333333334,0.75
Austria,2020,7871.333333333333,9.5,20015.0,1.2000000476837158
Austria,2021,16004.666666666666,20.0,35351.666666666664,2.0999999046325684
Austria,2022,15671.333333333334,22.0,50687.333333333336,3.0
Austria,2023,21669.666666666668,26.0,73696.33333333333,4.400000095367432
Belgium,2010,28.0,0.0099999997764825,23.666666666666668,0.001300000003539
Belgium,2011,148.0,0.0520000010728836,115.66666666666667,0.0065000001341104
Belgium,2012,455.0,0.1899999976158142,393.6666666666667,0.0219999998807907
Belgium,2013,280.0,0.1199999973177909,597.0,0.032999999821186
Belgium,2014,975.0,0.4099999964237213,1234.0,0.06700000166893
Belgium,2015,1300.6666666666667,0.7699999809265137,2369.3333333333335,0.1299999952316284
Belgium,2016,3069.0,1.7000000476837158,5406.666666666667,0.2800000011920929
Belgium,2017,4903.666666666667,2.5999999046325684,10177.0,0.5299999713897705
Belgium,2018,4404.333333333333,2.400000095367432,14681.333333333334,0.7400000095367432
Belgium,2019,5904.0,3.200000047683716,20013.666666666668,1.0
Belgium,2020,15668.0,11.0,35021.333333333336,1.7999999523162842
Belgium,2021,23673.666666666668,18.0,57361.666666666664,2.900000095367432
Belgium,2022,32340.0,26.0,90026.66666666667,4.599999904632568
Belgium,2023,64336.333333333336,41.0,156699.66666666666,8.199999809265137
Brazil,2010,10.0,0.0003499999875202,,
Brazil,2011,8.0,0.0002800000074785,,
Brazil,2012,20.0,0.001300000003539,,
Brazil,2013,36.0,0.0024000001139938,,
Brazil,2014,61.0,0.002199999988079,61.0,0.000159999995958
Brazil,2015,44.5,0.0041999998502433,74.0,0.0003800000122282
Brazil,2016,88.5,0.0109999999403953,162.5,0.0007999999797903
Brazil,2017,215.0,0.0230000000447034,340.0,0.001700000022538
Brazil,2018,205.0,0.0199999995529651,525.0,0.0024999999441206
Brazil,2019,970.0,0.0860000029206276,1495.0,0.0070000002160668
Brazil,2020,1300.0,0.1599999964237213,2700.0,0.0130000002682209
Brazil,2021,4633.666666666667,0.8999999761581421,6467.0,0.0460000000894069
Brazil,2022,6167.333333333333,1.2000000476837158,13001.0,0.0890000015497207
Brazil,2023,26000.0,3.0,30667.666666666668,0.209999993443489
Bulgaria,2015,21.0,0.0900000035762786,,
Bulgaria,2016,6.5,0.050000000745058,,
Bulgaria,2017,53.0,0.3400000035762787,,
Bulgaria,2018,108.0,0.6399999856948853,,
Bulgaria,2019,118.0,0.6700000166893005,,
Bulgaria,2020,90.5,,,
Bulgaria,2021,275.0,2.200000047683716,,
Bulgaria,2022,570.0,4.0,,
Bulgaria,2023,1080.0,5.800000190734863,,
Canada,2011,260.0,0.0410000011324882,185.0,0.0028999999631196
Canada,2012,960.0,0.1400000005960464,811.6666666666666,0.0130000002682209
Canada,2013,1550.0,0.2199999988079071,1835.0,0.0270000007003545
Canada,2014,2550.0,0.3499999940395355,3568.3333333333335,0.0529999993741512
